"County","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Mean Annual Earnings","2011","Co. Mayo","Human health and social work activities (Q)","Euro","33776"
"Mean Annual Earnings","2011","Co. Mayo","Industry (B to E)","Euro","38226"
"Mean Annual Earnings","2011","Co. Mayo","Financial, insurance and real estate activities (K,L)","Euro","43901"
"Mean Annual Earnings","2011","Co. Mayo","Arts, entertainment, recreation and other service activities (R,S)","Euro","21383"
"Mean Annual Earnings","2011","Co. Offaly","All NACE economic sectors","Euro","35380"
"Mean Annual Earnings","2011","Co. Offaly","Construction (F)","Euro","34395"
"Mean Annual Earnings","2011","Co. Offaly","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","25071"
"Mean Annual Earnings","2011","Co. Offaly","Transportation and storage (H)","Euro","33920"
"Mean Annual Earnings","2011","Co. Offaly","Accommodation and food service activities (I)","Euro","17765"
"Mean Annual Earnings","2011","Co. Offaly","Information and communication (J)","Euro","45707"
"Mean Annual Earnings","2011","Co. Offaly","Professional, scientific and technical activities (M)","Euro","35188"
"Mean Annual Earnings","2011","Co. Offaly","Administrative and support service activities (N)","Euro","26502"
"Mean Annual Earnings","2011","Co. Offaly","Public administration and defence; compulsory social security (O)","Euro","44811"
"Mean Annual Earnings","2011","Co. Offaly","Education (P)","Euro","47778"
"Mean Annual Earnings","2011","Co. Offaly","Human health and social work activities (Q)","Euro","36355"
"Mean Annual Earnings","2011","Co. Offaly","Industry (B to E)","Euro","39046"
"Mean Annual Earnings","2011","Co. Offaly","Financial, insurance and real estate activities (K,L)","Euro","41697"
"Mean Annual Earnings","2011","Co. Offaly","Arts, entertainment, recreation and other service activities (R,S)","Euro","21715"
"Mean Annual Earnings","2011","Co. Roscommon","All NACE economic sectors","Euro","35515"
"Mean Annual Earnings","2011","Co. Roscommon","Construction (F)","Euro","31742"
"Mean Annual Earnings","2011","Co. Roscommon","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","23732"
"Mean Annual Earnings","2011","Co. Roscommon","Transportation and storage (H)","Euro","35809"
"Mean Annual Earnings","2011","Co. Roscommon","Accommodation and food service activities (I)","Euro","17034"
"Mean Annual Earnings","2011","Co. Roscommon","Information and communication (J)","Euro","46361"
"Mean Annual Earnings","2011","Co. Roscommon","Professional, scientific and technical activities (M)","Euro","34126"
"Mean Annual Earnings","2011","Co. Roscommon","Administrative and support service activities (N)","Euro","24408"
"Mean Annual Earnings","2011","Co. Roscommon","Public administration and defence; compulsory social security (O)","Euro","44972"
"Mean Annual Earnings","2011","Co. Roscommon","Education (P)","Euro","49041"
"Mean Annual Earnings","2011","Co. Roscommon","Human health and social work activities (Q)","Euro","34705"
"Mean Annual Earnings","2011","Co. Roscommon","Industry (B to E)","Euro","38502"
"Mean Annual Earnings","2011","Co. Roscommon","Financial, insurance and real estate activities (K,L)","Euro","40687"
"Mean Annual Earnings","2011","Co. Roscommon","Arts, entertainment, recreation and other service activities (R,S)","Euro","22018"
"Mean Annual Earnings","2011","Co. Sligo","All NACE economic sectors","Euro","36340"
"Mean Annual Earnings","2011","Co. Sligo","Construction (F)","Euro","31333"
"Mean Annual Earnings","2011","Co. Sligo","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","24118"
"Mean Annual Earnings","2011","Co. Sligo","Transportation and storage (H)","Euro","35157"
"Mean Annual Earnings","2011","Co. Sligo","Accommodation and food service activities (I)","Euro","18666"
"Mean Annual Earnings","2011","Co. Sligo","Information and communication (J)","Euro","42425"
"Mean Annual Earnings","2011","Co. Sligo","Professional, scientific and technical activities (M)","Euro","30089"
"Mean Annual Earnings","2011","Co. Sligo","Administrative and support service activities (N)","Euro","23591"
"Mean Annual Earnings","2011","Co. Sligo","Public administration and defence; compulsory social security (O)","Euro","45400"
"Mean Annual Earnings","2011","Co. Sligo","Education (P)","Euro","50227"
"Mean Annual Earnings","2011","Co. Sligo","Human health and social work activities (Q)","Euro","39243"
"Mean Annual Earnings","2011","Co. Sligo","Industry (B to E)","Euro","39368"
"Mean Annual Earnings","2011","Co. Sligo","Financial, insurance and real estate activities (K,L)","Euro","44965"
"Mean Annual Earnings","2011","Co. Sligo","Arts, entertainment, recreation and other service activities (R,S)","Euro","20352"
"Mean Annual Earnings","2011","Co. Tipperary","All NACE economic sectors","Euro","35722"
"Mean Annual Earnings","2011","Co. Tipperary","Construction (F)","Euro","34620"
"Mean Annual Earnings","2011","Co. Tipperary","Wholesale and retail trade; repair of motor vehicles and motorcycles (G)","Euro","25095"
"Mean Annual Earnings","2011","Co. Tipperary","Transportation and storage (H)","Euro","32949"
"Mean Annual Earnings","2011","Co. Tipperary","Accommodation and food service activities (I)","Euro","17145"
"Mean Annual Earnings","2011","Co. Tipperary","Information and communication (J)","Euro","42491"
"Mean Annual Earnings","2011","Co. Tipperary","Professional, scientific and technical activities (M)","Euro","34393"
"Mean Annual Earnings","2011","Co. Tipperary","Administrative and support service activities (N)","Euro","26811"
"Mean Annual Earnings","2011","Co. Tipperary","Public administration and defence; compulsory social security (O)","Euro","44900"
"Mean Annual Earnings","2011","Co. Tipperary","Education (P)","Euro","47834"
"Mean Annual Earnings","2011","Co. Tipperary","Human health and social work activities (Q)","Euro","33011"
"Mean Annual Earnings","2011","Co. Tipperary","Industry (B to E)","Euro","43259"
